experiment,model,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
ecg_only,XGBoost,max_f1,0.25,0.34920405905833696,0.2159917555771096,0.8560788082652571,0.22235584150081172,0.34495110852938327,3698,12933,599,3563,0.07843464976606884,
ecg_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.3,0.395854374068196,0.21962616822429906,0.790485343584815,0.2970957849798569,0.3437467349284296,4941,11690,872,3290,0.08758112856467193,
ecg_only,XGBoost,max_youden,0.3,0.395854374068196,0.21962616822429906,0.790485343584815,0.2970957849798569,0.3437467349284296,4941,11690,872,3290,0.08758112856467193,
effort_only,XGBoost,max_f1,0.4,0.42653777713653634,0.220066358915176,0.733061028351754,0.34982863327520897,0.338511039609453,5818,10813,1111,3051,0.08288966162696298,
effort_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.42653777713653634,0.220066358915176,0.733061028351754,0.34982863327520897,0.338511039609453,5818,10813,1111,3051,0.08288966162696298,
effort_only,XGBoost,max_youden,0.5,0.596114076852787,0.2458603311735061,0.49231138875540603,0.6220912753292045,0.3279449423815621,10346,6285,2113,2049,0.11440266408461053,
flow_only,XGBoost,max_f1,0.45,0.543404030202472,0.24251497005988024,0.6033157135992311,0.5284107991100956,0.3459630752273354,8788,7843,1651,2511,0.13172651270932656,
flow_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.45207521762131486,0.22711148011170654,0.7229697260932244,0.38428236425951534,0.34564355866980645,6391,10240,1153,3009,0.10725209035273986,
flow_only,XGBoost,max_youden,0.5,0.6265570143798393,0.26091572660915724,0.4723690533397405,0.6651434068907462,0.3361545695477473,11062,5569,2196,1966,0.1375124602304867,
full_core_fusion,LogisticRegression,max_f1,0.4,0.4687635261866974,0.2307993117472235,0.7090341182123979,0.40863447778245443,0.3482416804342695,6796,9835,1211,2951,0.11766859599485224,
full_core_fusion,LogisticRegression,sensitivity_ge_0.70_max_specificity,0.4,0.4687635261866974,0.2307993117472235,0.7090341182123979,0.40863447778245443,0.3482416804342695,6796,9835,1211,2951,0.11766859599485224,
full_core_fusion,LogisticRegression,max_youden,0.55,0.673832539797047,0.28268082282680823,0.4094185487746276,0.7400036077205219,0.33444553483807654,12307,4324,2458,1704,0.14942215649514945,
full_core_fusion,RandomForest,max_f1,0.2,0.48073871014283653,0.22603022545214305,0.6576165305141759,0.4364740544765799,0.33642677155675743,7259,9372,1425,2737,0.09409058499075584,
full_core_fusion,RandomForest,sensitivity_ge_0.70_max_specificity,0.15,0.32207954600105804,0.20431003690915586,0.8246035559827006,0.19632012506764476,0.32748091603053436,3265,13366,730,3432,0.020923681050345477,
full_core_fusion,RandomForest,max_youden,0.25,0.6412254123984034,0.26429388221841055,0.4442575684766939,0.6905177078948951,0.33142140168488976,11484,5147,2313,1849,0.13477527637158904,
full_core_fusion,XGBoost,max_f1,0.3,0.3886885009378156,0.2192815393708544,0.8022585295530995,0.28519030725753114,0.3444220950023209,4743,11888,823,3339,0.08744883681063076,
full_core_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.4478430240946472,0.22511830541575903,0.7200864968765017,0.37971258493175397,0.3430042918454936,6315,10316,1165,2997,0.0997990818082557,
full_core_fusion,XGBoost,max_youden,0.5,0.6592122348867407,0.27091820745847695,0.41542527630946663,0.7202212735253443,0.32795902883156297,11978,4653,2433,1729,0.13564654983481095,
full_minus_ecg,XGBoost,max_f1,0.45,0.5592747559274756,0.2509460266879108,0.6054781355117732,0.547712103902351,0.3548296254576176,9109,7522,1642,2520,0.15319023941412424,
full_minus_ecg,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.41235031020054824,0.22299388021728667,0.7791926958193176,0.32054596837231675,0.3467522052927025,5331,11300,919,3243,0.09973866419163446,
full_minus_ecg,XGBoost,max_youden,0.5,0.629394507767037,0.26987012987012987,0.49927919269581933,0.6619565870963863,0.3503625021075704,11009,5622,2084,2078,0.1612357797922055,
full_minus_effort,XGBoost,max_f1,0.3,0.3883999422882701,0.21952658842043143,0.8044209514656415,0.2842883771270519,0.34492350486787204,4728,11903,814,3348,0.08870932859269343,
full_minus_effort,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.4429375270523734,0.22459734283381577,0.7270543008169149,0.37183572845890206,0.3431811738020981,6184,10447,1136,3026,0.09889002927581703,
full_minus_effort,XGBoost,max_youden,0.5,0.655220506901361,0.27243832299076737,0.4324843825084094,0.7109614575190909,0.33429287770452226,11824,4807,2362,1800,0.14344584002750027,
full_minus_flow,XGBoost,max_f1,0.35,0.440773337180782,0.22183308494783904,0.7152811148486304,0.3720762431603632,0.33864179274257766,6188,10443,1185,2977,0.08735735800899369,
full_minus_flow,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.440773337180782,0.22183308494783904,0.7152811148486304,0.3720762431603632,0.33864179274257766,6188,10443,1185,2977,0.08735735800899369,
full_minus_flow,XGBoost,max_youden,0.5,0.6608474005674987,0.2701972010178117,0.40821720326765976,0.7240695087487222,0.32516746411483255,12042,4589,2463,1699,0.13228671201638198,
full_minus_spo2,XGBoost,max_f1,0.3,0.41047467897850237,0.22470076169749728,0.7938491110043249,0.3145331008357886,0.3502597264921022,5231,11400,858,3304,0.10838221184011343,
full_minus_spo2,XGBoost,sensitivity_ge_0.70_max_specificity,0.3,0.41047467897850237,0.22470076169749728,0.7938491110043249,0.3145331008357886,0.3502597264921022,5231,11400,858,3304,0.10838221184011343,
full_minus_spo2,XGBoost,max_youden,0.35,0.4711200884913192,0.22917822331405024,0.6948582412301778,0.4151283747219049,0.34467552589237826,6904,9727,1270,2892,0.10998661595208281,
late_fusion,XGBoost,max_f1,0.45,0.5806761891021016,0.25555197940135177,0.5723209995194618,0.5827671216403103,0.3533338277831343,9692,6939,1780,2382,0.1550881211597721,
late_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.46659933631510603,0.23224360460622923,0.7220086496876502,0.40268173892129155,0.3514414361733232,6697,9934,1157,3005,0.12469038860894166,
late_fusion,XGBoost,max_youden,0.45,0.5806761891021016,0.25555197940135177,0.5723209995194618,0.5827671216403103,0.3533338277831343,9692,6939,1780,2382,0.1550881211597721,
respiratory_fusion,XGBoost,max_f1,0.45,0.559226662819218,0.24591163026917218,0.5816914944738106,0.5536047140881486,0.34568430070678946,9207,7424,1741,2421,0.13529620856195912,
respiratory_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.4072524407252441,0.22084672731003352,0.7758289283998078,0.31501413023871083,0.343821540754938,5239,11392,933,3229,0.09084305863851849,
respiratory_fusion,XGBoost,max_youden,0.5,0.6281440869523397,0.26275917065390747,0.47501201345506966,0.6664662377487824,0.3383535854869074,11084,5547,2185,1977,0.14147825120385216,
respiratory_spo2_fusion,XGBoost,max_f1,0.45,0.5592747559274756,0.2509460266879108,0.6054781355117732,0.547712103902351,0.3548296254576176,9109,7522,1642,2520,0.15319023941412424,
respiratory_spo2_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.41235031020054824,0.22299388021728667,0.7791926958193176,0.32054596837231675,0.3467522052927025,5331,11300,919,3243,0.09973866419163446,
respiratory_spo2_fusion,XGBoost,max_youden,0.5,0.629394507767037,0.26987012987012987,0.49927919269581933,0.6619565870963863,0.3503625021075704,11009,5622,2084,2078,0.1612357797922055,
spo2_only,XGBoost,max_f1,0.5,0.6377146154955995,0.26926762491444217,0.47260932244113407,0.6790331309001263,0.34307142234237376,11293,5338,2195,1967,0.15164245334126036,
spo2_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.41744817967585246,0.21409564904710535,0.7152811148486304,0.34291383560820154,0.3295511152930758,5703,10928,1185,2977,0.058194950456831984,
spo2_only,XGBoost,max_youden,0.5,0.6377146154955995,0.26926762491444217,0.47260932244113407,0.6790331309001263,0.34307142234237376,11293,5338,2195,1967,0.15164245334126036,
