experiment,components,postprocessing,smoothing_window_epochs,smoothing_centered,offline_retrospective,fold,n_valid,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
resnet_causal_61,resnet_150s,rolling_mean_causal,61,False,True,2,3383,5,0.619864026012415,0.29973118279569894,0.6463768115942029,0.6130709246193836,0.40955004591368227,0.6576728716963465,0.29783769973416074,1651,1042,244,446
resnet_causal_61,resnet_150s,rolling_mean_causal,61,False,True,5,3712,6,0.7370689655172413,0.34913793103448276,0.31723237597911225,0.8462321792260692,0.332421340629275,0.5494749707086124,0.2504130360673932,2493,453,523,243
resnet_causal_61,resnet_150s,rolling_mean_causal,61,False,True,1,3302,5,0.6571774682010902,0.26912181303116145,0.4432348367029549,0.7089131252350508,0.33490011750881316,0.5970766264051137,0.2492505661013804,1885,774,358,285
resnet_causal_61,resnet_150s,rolling_mean_causal,61,False,True,4,3094,5,0.4770523594053006,0.2182254196642686,0.5368731563421829,0.4602649006622517,0.3103154305200341,0.5124233233702553,0.23613117543393167,1112,1304,314,364
resnet_causal_61,resnet_150s,rolling_mean_causal,61,False,True,3,2576,4,0.7158385093167702,0.48450704225352115,0.48450704225352115,0.8038585209003215,0.48450704225352115,0.6945571607566082,0.5135937845222868,1500,366,366,344
resnet_causal_121,resnet_150s,rolling_mean_causal,121,False,True,2,3383,5,0.6287318947679574,0.30292479108635095,0.6304347826086957,0.6282955811362793,0.40921919096895576,0.6523025342137695,0.31852528135597635,1692,1001,255,435
resnet_causal_121,resnet_150s,rolling_mean_causal,121,False,True,5,3712,6,0.7745150862068966,0.4395229982964225,0.3368146214099217,0.8883231500339444,0.38137472283813745,0.5621557929590771,0.27523333053124943,2617,329,508,258
resnet_causal_121,resnet_150s,rolling_mean_causal,121,False,True,1,3302,5,0.6995760145366444,0.3088718510405257,0.4385692068429238,0.7626927416321926,0.36246786632390743,0.6252850584622079,0.2961627292381096,2028,631,361,282
resnet_causal_121,resnet_150s,rolling_mean_causal,121,False,True,4,3094,5,0.5032320620555915,0.21872953503601833,0.49262536873156343,0.5062086092715232,0.3029478458049887,0.511856184922542,0.2363405606615961,1223,1193,344,334
resnet_causal_121,resnet_150s,rolling_mean_causal,121,False,True,3,2576,4,0.7546583850931677,0.5553977272727273,0.5507042253521127,0.8322615219721329,0.553041018387553,0.7191212656431624,0.6019810001023038,1553,313,319,391
cnn90_resnet_causal_31_mean,cnn_90s_context + resnet_150s,equal_mean_causal,31,False,True,2,3383,5,0.6748448122967781,0.3375594294770206,0.6173913043478261,0.6895655402896398,0.4364754098360656,0.6557483976170103,0.3022609105786479,1857,836,264,426
cnn90_resnet_causal_31_mean,cnn_90s_context + resnet_150s,equal_mean_causal,31,False,True,5,3712,6,0.7195581896551724,0.2900763358778626,0.24804177545691905,0.8421588594704684,0.2674173117522871,0.5617255064618308,0.2525756097533348,2481,465,576,190
cnn90_resnet_causal_31_mean,cnn_90s_context + resnet_150s,equal_mean_causal,31,False,True,1,3302,5,0.6959418534221684,0.31525076765609006,0.47900466562986005,0.7484016547574276,0.3802469135802469,0.6043830132938575,0.25723863357364296,1990,669,335,308
cnn90_resnet_causal_31_mean,cnn_90s_context + resnet_150s,equal_mean_causal,31,False,True,4,3094,5,0.4980607627666451,0.20177232447171098,0.4365781710914454,0.5153145695364238,0.275990675990676,0.48966452753521267,0.21269379477362466,1245,1171,382,296
cnn90_resnet_causal_31_mean,cnn_90s_context + resnet_150s,equal_mean_causal,31,False,True,3,2576,4,0.6983695652173914,0.46362649294245384,0.6014084507042253,0.7352625937834941,0.5236051502145923,0.7191159820660296,0.5523453727916484,1372,494,283,427
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,2,3383,5,0.6630209872893881,0.3019366197183099,0.4971014492753623,0.7055328629780914,0.37568455640744797,0.6475758407465408,0.3090449236885567,1900,793,347,343
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,5,3712,6,0.7314116379310345,0.29411764705882354,0.2154046997389034,0.8655804480651731,0.24868123587038432,0.5603925489090841,0.25286380967284705,2550,396,601,165
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,1,3302,5,0.7353119321623258,0.3572311495673671,0.4494556765163297,0.8044377585558481,0.39807162534435264,0.6407008797259461,0.31717972461357824,2139,520,354,289
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,4,3094,5,0.5303813833225598,0.21818181818181817,0.4424778761061947,0.5550496688741722,0.2922552362396493,0.48327826779190847,0.20473312156427342,1341,1075,378,300
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,3,2576,4,0.7368012422360248,0.5176211453744494,0.6619718309859155,0.7652733118971061,0.580964153275649,0.7439850248328125,0.6442923803479212,1428,438,240,470
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,2,3383,5,0.5808454034880284,0.2856301531213192,0.7028985507246377,0.5495729669513554,0.40619765494137355,0.6495223795454668,0.30978259735491187,1480,1213,205,485
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,5,3712,6,0.779364224137931,0.18823529411764706,0.020887728459530026,0.9765784114052953,0.03760282021151586,0.571834358753472,0.29728268026797255,2877,69,750,16
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,1,3302,5,0.7289521502119928,0.352803738317757,0.46967340590979784,0.7916509966152689,0.4029352901934623,0.6385947078410306,0.3181715442859574,2105,554,341,302
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,4,3094,5,0.5148674854557207,0.21718213058419245,0.46607669616519176,0.5285596026490066,0.2962962962962963,0.4995183291332122,0.20928759140225503,1277,1139,362,316
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,3,2576,4,0.7449534161490683,0.531435349940688,0.6309859154929578,0.7883172561629154,0.5769478428847392,0.747153661518953,0.6467474644636134,1471,395,262,448
